name,email,password,image,mobile,experience,degree,category,gender,clinicName,clinicAddress,clinicNo,clinicTiming,,,,,,,
Santosh Kumar Gupta,santosh@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652691893438_2Santosh Kumar Gupta.jpg?alt=media&token=image,9876432981,34 Years,BAMS,627cae14412fc0e68820c48b,Male,gupta clinic,"Lucknow, Uttar Pradesh",9876432981,morning 10 am to 12 pm,,,,,,,
Pronab Haldar,pronab@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652691918215_3Pronab Haldar.webp?alt=media&token=image,8796543218,14 Years,"MD Ayurveda, PhD Ayurveda",627cae9f412fc0e68820c495,Male,"Dr. Haldar's Piles Care Centre, Indore","Capital Tower, 306, 3rd Floor(Lift), Sapna Sangeeta Main RoadIndore",8796543218,"MON-SAT
05:00 PM - 08:00 PM
MON-SUN
10:00 AM - 01:00 PM",,,,,,,
Sandeep Shah,sandeep@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652691934732_4Sandeep Shah.webp?alt=media&token=image,9878965432,19 Years,"BAMS, Advance Diploma in Psychology, Advance Diploma in Nutrition and Dietetics",627cae31412fc0e68820c48d,Male,Dr. Shahs Panchkarma Ayurved Clinic,"M-6, Amar Darshan, 1st Floor, 28/2, Saket Square, Old PalasiaIndore",9878965432,"MON-SAT
11:00 AM - 08:30 PM",,,,,,,
A Khan,khan@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652691963292_5A Khan.webp?alt=media&token=image,7890654327,13 Years,BAMS,627cae14412fc0e68820c48b,Female,Preventous Health & Wellness,"H.No.1401-M, Scheme No-114, Part-1, Near Marthoma Academy,  Indore",7890654327,"MON-SAT
09:00 AM - 06:00 PM",,,,,,,
Gaurav Arun Shelke,gaurav@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652691992752_6Gaurav Arun Shelke.webp?alt=media&token=image,6263498768,13 Years,BAMS,627cada3412fc0e68820c485,Male,Vaidya Shelke's Siddharshi Ayurved,"103, 1st Floor, EC 15, Scheme no 94, Bombay Hospital Square, Above Apna bazar, Ring Road,  Indore",,"MON-SAT
09:00 AM - 01:00 PM
MON-SUN
06:00 PM - 09:00 PM",,,,,,,
Vipul Kant Bandaiya,vipul@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692010024_7Vipul Kant Bandaiya.webp?alt=media&token=image,6267890876,10 Years,BAMS,627cae14412fc0e68820c48b,Male,Shree Manovega Ayurved Clinic,"LG 9, CROSS ROAD BUILDING, NEAR G.SACHANAND SHOWROOM,  Indore",,"MON-SAT
11:00 AM - 02:00 PM",,,,,,,
Anjali Tamori,anjali@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692032481_8Anjali Tamori.webp?alt=media&token=image,9781256473,8 Years,"MS - Ayurveda, Bachelor of Ayurveda, Medicine and Surgery (BAMS)",627cae14412fc0e68820c48b,Female,Ashvin Ayurcare Multispeciality clinic,"House no.3, sector-D, Slice-1, near water tank, scheme no. 78, Vijay nagarIndore",,"MON-SAT
05:30 PM - 09:00 PM",,,,,,,
M. Haneef Khan,haneef@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692048666_9M. Haneef Khan.webp?alt=media&token=image,7896543210,39 Years,"Diploma in Yoga, MA - Psychology, Ayurveda Ratna",627cae14412fc0e68820c48b,Male,Hamidia Clinic,"347/2, Malviya Nagar, AB Road, Landmark: Near Khatushyam Hanuman Mandir, Indore",,"MON-SAT
10:30 AM - 01:30 PM",,,,,,,
Nidhi Shah,nidhi@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692066302_10Nidhi Shah.webp?alt=media&token=image,8796579812,19 Years,"BAMS, Alternate Medicine",627cada3412fc0e68820c485,Female,Dr. Shahs Panchkarma Ayurved Clinic,"M-6, Amar Darshan, 1st Floor, 28/2, Saket Square, Old PalasiaIndore",,"MON-SAT
10:30 AM - 02:00 PM",,,,,,,
Udit Prajapati,udit@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692083062_11Udit Prajapati.webp?alt=media&token=image,768900120,11 Years,BAMS,627cae9f412fc0e68820c495,Male,Namoh Clinic,"silver estate building,y n roadIndore",,"MON-SAT
06:00 PM - 08:00 PM",,,,,,,
Uma M Jain,uma@gmail.com,1122,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652692100119_12Uma M Jain.jpg?alt=media&token=image,9900123789,14 Years,BAMS,627cad2b412fc0e68820c482,Female,Dr. Uma M Jain Clinic,"B-11, Veena Nagar, Sukhliya, Landmark: Khatipura Main Road, Indore,  Indore",,"MON-SAT
10:00 AM - 12:00 PM",,,,,,,
